工单号,专业,一级网络类型,城市,地区名称,设备机房,网元名称,故障类别,BTS+站点ABIS控制链路断,BTS+[衍生关联]无线基站断站合并,NODEB+NodeB退服,NODEB+[关联告警]（拓扑关联）疑似动力原因断站工单,IPRAN+[关联告警]传输原因断站工单,EnodeB+网元断链告警,EnodeB+[衍生关联]无线基站断站合并,EnodeB+[关联告警]同站点传输托管告警关联基站断站,NODEB+[衍生关联]无线基站断站合并,EnodeB+[关联告警]（无传输托管）疑似动力原因断站工单,EnodeB+基站退出服务,EnodeB+[衍生告警]华为LTE无线基站的断站,NODEB+[关联告警]（无传输托管）疑似动力原因断站工单,BTS+[关联告警]同站点传输托管告警关联基站断站,IPRAN+物理端口Down,IPRAN+[关联告警]预判停电引起的传输故障,BTS+[衍生关联]无线基站设备和链路类告警合并,BTS+载频的PA温度严重告警(载频级告警;超过95度),UtranCell+[衍生关联]无线基站小区退服合并,NODEB+[关联告警]（无传输托管）动力原因断站工单,CELL+CELL LOGICAL CHANNEL AVAILABILITY SUPERVISION,BTS+[衍生告警]爱立信2G无线基站的断站,Eutrancell+[衍生关联]无线基站小区退服合并,UtranCell+小区退服,NODEB+RRU链路断,NODEB+[衍生关联]无线基站设备和链路类告警合并,BTS+[关联告警]（拓扑关联）疑似动力原因断站工单,Eutrancell+LTE小区退出服务,UtranCell+UtranCell_ServiceUnavailable,NODEB+DigitalCable_CableFailure,NODEB+AuxPlugInUnit_LossOfMains,EnodeB+PowerFailure,EnodeB+[衍生关联]无线基站设备和链路类告警合并,EnodeB+[衍生告警]爱立信LTE基站断站,EnodeB+[关联告警]（无传输托管）动力原因断站工单,NODEB+[关联告警]同站点传输托管告警关联基站断站,EnodeB+[关联告警]（拓扑关联）疑似动力原因断站工单,EnodeB+设备掉电,SDH+[关联告警]传输原因断站工单,Eutrancell+小区不可用告警,NODEB+[主次关联]爱立信3G基站断站,EnodeB+Heartbeat Failure,BTS+[关联告警]（无传输托管）疑似动力原因断站工单,IPRAN+[关联告警]传输专业链路告警与无线专业大面积断站关联,BTS+载频与CMB的HDLC链路断,NODEB+设备掉电,CELL+[衍生关联]无线基站小区退服合并,EnodeB+Power Failure,BTS+RRU链路断,EnodeB+射频单元维护链路异常告警,EnodeB+[衍生关联]同地市5分钟内10个4G基站断站,NODEB+[关联告警]（拓扑关联）动力原因断站工单,EnodeB+BBU光模块收发异常告警,EnodeB+Link Failure,CELL+GSM小区退出服务告警,BTS+OML故障告警,EnodeB+RRU链路断,UtranCell+UMTS小区不可用告警,NODEB+NodeB不可用告警,IPRAN+以太网物理接口(ETPI) 信号丢失(LOS),EnodeB+[关联告警]（拓扑关联）动力原因断站工单,NODEB+[衍生关联]同地市5分钟内10个3G基站断站,BTS+[关联告警]（无传输托管）动力原因断站工单,BTS+[衍生关联]同地市5分钟内10个2G基站断站,BTS+设备掉电,EnodeB+BBU单板维护链路异常告警,BTS+[关联告警]（拓扑关联）动力原因断站工单,NODEB+Network Synch Time from GPS Missing,EnodeB+Network Synch Time from GPS Missing,NODEB+Ethernet Switch Port Fault,SDH+[关联告警]传输专业链路告警与无线专业大面积断站关联,NODEB+Plug-In Unit General Problem,NODEB+AlmDevice Power Failure,EnodeB+PA去使能,BTS+PA去使能,EnodeB+RF Reflected Power High,IPRAN+电源整体功能失效,Eutrancell+PLMN Service Unavailable,NODEB+SCTP偶联断,EnodeB+BBU CPRI接口异常告警,NODEB+IMA Group Insufficient Links at Far End,BTS+载频的前向功率3db告警,EnodeB+射频单元光模块收发异常告警
804974322,话音网,无线网,盐田区,深圳,[深圳东海岸天利明园B1F机房一],[GD深圳东海岸天利名园(东方威尼斯酒店)_LTE_1_MF],动力配套,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807453822,话音网,无线网,龙华新区,深圳,[深圳龙华民治西头村楼顶机房一],[GD深圳龙华民治西头村_LTE_1_OF],传输,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791270822,话音网,无线网,湘桥区,潮州,[潮州恒大城三十三楼机房五; 潮州恒大城三十三楼机房十二; 潮州恒大城三十三楼机房七; 潮州恒大城负一楼机房一; 潮州恒大城三十三楼机房十; 潮州恒大城三十三楼机房六; 潮州恒大城三十三楼机房三; 潮州恒大城三十三楼机房十一; 潮州恒大城三十三楼机房八; 潮州恒大城三十三楼机房四; 潮州恒大城三十三楼机房九],[潮州恒大城三期室分U2100-11; 潮州恒大城三期室分U2100-12; 潮州恒大城三期室分U2100-10; GD潮州恒大城三期2_LTE_1_MF; 潮州恒大城二期1800-12; 潮州恒大城二期1800-11; 潮州恒大城二期1800-10; 潮州恒大城二期1800-3; 潮州恒大城二期1800-5; 潮州恒大城二期1800-4; GD潮州恒大城二期_BTS_GSM1800_2; 潮州恒大城二期1800-7; 潮州恒大城二期1800-6; 潮州恒大城二期1800-9; 潮州恒大城二期1800-8; XQ_RF_HengDaChengSanQi2_3895_S; XQ_RF_HengDaChengSanQi1_3894_S; 潮州恒大城三期室分U2100-9; GD潮州恒大城三期1_LTE_1_MF; 潮州恒大城三期室分U2100-8; 潮州恒大城三期室分U2100-7; 潮州恒大城三期室分U2100-6; 潮州恒大城三期室分U2100-5; 潮州恒大城三期室分U2100-4; 潮州恒大城三期室分U2100-3; 潮州恒大城三期室分U2100-2; 潮州恒大城三期室分U2100-1],动力配套,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796738622,话音网,无线网,宝安区,深圳,[深圳沙井后亭村三楼机房一],[GD深圳沙井后亭村_BTS_1800_1],动力配套,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
808876022,话音网,无线网,光明新区,深圳,[深圳光明圣亚达化工楼顶机房一],[GD深圳光明圣亚达化工_LTE_1_OF],动力配套,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796849122,话音网,无线网,宝安区,深圳,[深圳松岗碧头村西四楼机房一],[GD深圳松岗碧头村西_LTE_1_OF],动力配套,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793688322,话音网,无线网,饶平县,潮州,[潮州新丰溁东天面机房一],[GD潮州新丰溁东_微蜂窝_GSM900_1],传输,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793963322,传输网,传输网,龙华新区,深圳,[深圳观澜新骏利八楼机房一],[GD深圳观澜新骏利_LTE_1_OF; JZ-宝安观澜新骏利基站-宝安UZ(PA7C4链)],传输,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795603022,话音网,无线网,坪山新区,深圳,[深圳坪山龙背路口楼顶机房一],[坪山龙背路口-室外-3; GD深圳坪山龙背路口_NodeB_Wcdma2100_1; 坪山龙背路口-室外-1; GD深圳坪山龙背路口_LTE_1_OF; JZ-龙背路口基站-龙岗UH(PA14C40链)],传输,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794717622,话音网,无线网,宝安区,深圳,[深圳西乡轻骑西十三巷南七层楼顶机房一],[GD深圳西乡轻骑西十三巷南_LTE_1_OF],传输,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801811422,话音网,无线网,潮安县,潮州,[潮州潮安亭头地面机房一],[潮安亭头W2100-3; 潮安亭头W2100-2; 潮安亭头W2100-1; CA_ChaoAnTingTou_3964_M],传输,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796669522,话音网,无线网,潮安县,潮州,[潮州潮安潮安医院五楼机房一],[CA_ChaoAnYiYuan_5214_S; 潮安医院W2100-1; 潮安医院W2100-2; 潮安医院W2100-3; GD潮州潮安潮安医院_LTE_1_OF],传输,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801631822,话音网,无线网,饶平县,潮州,[潮州黄冈大畔寮地面机房一],[GD潮州黄冈大畔寮_LTE_1_OF; GD潮州黄冈大畔寮_微蜂窝_GSM900_1],传输,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
805118222,话音网,无线网,福田区,深圳,[深圳福田山语清晖花园3栋2单元B3F机房一],[GD深圳福田山语清晖花园_LTE_2_MF],动力配套,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
805829322,话音网,无线网,南山区,深圳,[深圳南山蛇口海昌补点十七层楼顶机房一],[GD深圳南山蛇口海昌补点_LTE_1_OF],传输,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794488522,话音网,无线网,南山区,深圳,[深圳南山华侨城白石路地面机房一],[GD深圳南山深圳湾休闲带1_LTE_1_OF],动力配套,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
805718822,话音网,无线网,龙岗区,深圳,[深圳横岗龙兴路八楼楼顶机房一],[GD深圳横岗龙兴路_LTE_1_OF],动力配套,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
797179222,话音网,无线网,坪山新区,深圳,[深圳坪山新屋村八层顶机房一],[GD深圳坪山新屋村_NodeB_Wcdma2100_1],动力配套,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804834022,话音网,无线网,龙华新区,深圳,[深圳观澜冼屋居民四层天面机房一],[GD深圳观澜冼屋居民_LTE_1_OF],动力配套,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790930922,传输网,传输网,龙华新区,深圳,[深圳龙华谭罗C区楼顶机房一],[GD深圳龙华谭罗C区_BTS_1800_1; GD深圳龙华谭罗C区_NodeB_Wcdma2100_1; JZ-宝安龙华谭罗C区基站-宝安UZ(PA2C17链)],传输,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807257722,话音网,无线网,龙岗区,深圳,[深圳龙岗盛龙楼顶机房一],[GD深圳龙岗盛龙_LTE_1_OF],动力配套,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
797779822,话音网,无线网,龙岗区,深圳,[深圳坪地景福宾馆北七层楼顶机房一],[坪地景福宾馆北-室外-25341; 坪地景福宾馆北-室外-25342; 坪地景福宾馆北-室外-25331; GD深圳坪地景福宾馆北_NodeB_Wcdma2100_1; GD深圳坪地景福宾馆北_LTE_1_OF; 坪地景福宾馆北-室外-25321; 坪地景福宾馆北-室外-25332; 坪地景福宾馆北-室外-25322; 坪地景福宾馆北-室外-25311; 坪地景福宾馆北-室外-25312],动力配套,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798554722,话音网,无线网,盐田区,深圳,[深圳盐田梧桐山高架桥地面机房一],[GD深圳盐田深盐梧桐山高架桥_BTS_900_1; JZ-罗湖梧桐山高架桥-罗湖UH(PA31C38环)],传输,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795116822,话音网,无线网,宝安区,深圳,[深圳松岗金浩源七层天面机房一],[GD深圳松岗金浩源_LTE_1_OF],动力配套,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788544622,话音网,无线网,罗湖区,深圳,[深圳罗湖东乐花园拉远三十四楼机房一],[GD深圳罗湖东乐花园拉远_LTE_1_OF; GD深圳罗湖东乐花园拉远_NodeB_Wcdma2100_1],动力配套,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803569422,话音网,无线网,南山区,深圳,[深圳南山西丽绿道4号楼顶机房一],[GD深圳南山西丽绿道4号_LTE_1_OF],动力配套,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796017722,话音网,无线网,坪山新区,深圳,[深圳大鹏鹿咀山庄机房一],[GD深圳大鹏鹿咀山庄_NodeB_Wcdma2100_1; GD深圳大鹏鹿咀山庄_LTE_1_OF],动力配套,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799864222,话音网,无线网,龙岗区,深圳,[深圳龙岗丰华工业七楼机房一],[GD深圳龙岗丰华工业_NodeB_Wcdma2100_1],动力配套,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
